time,d,rssi
1650976845.0,9.0,83.0
1650976846.0,3.0,65.0
1650976847.0,1.0,70.0
1650976847.0,3.0,61.0
1650976847.0,9.0,82.0
1650976848.0,6.0,73.0
1650976849.0,1.0,60.0
1650976850.0,6.0,70.0
1650976850.0,3.0,63.0
1650976850.0,9.0,86.0
1650976852.0,6.0,76.0
1650976852.0,1.0,66.0
1650976852.0,3.0,72.0
1650976852.0,9.0,84.0
1650976853.0,6.0,77.0
1650976853.0,1.0,67.0
1650976853.0,3.0,66.0
1650976855.0,6.0,75.0
1650976855.0,3.0,65.0
1650976855.0,9.0,83.0
1650976857.0,6.0,80.0
1650976857.0,1.0,59.0
1650976858.0,3.0,70.0
1650976858.0,1.0,62.0
1650976859.0,6.0,79.0
1650976860.0,6.0,78.0
1650976860.0,1.0,62.0
1650976861.0,3.0,63.0
1650976862.0,6.0,79.0
1650976862.0,1.0,62.0
1650976863.0,6.0,75.0
1650976863.0,9.0,86.0
1650976864.0,3.0,66.0
1650976864.0,9.0,93.0
1650976865.0,6.0,81.0
1650976865.0,1.0,73.0
1650976866.0,3.0,73.0
1650976866.0,9.0,83.0
1650976867.0,3.0,65.0
1650976867.0,9.0,82.0
1650976869.0,6.0,80.0
1650976869.0,1.0,58.0
1650976869.0,3.0,66.0
1650976870.0,1.0,59.0
1650976870.0,3.0,65.0
1650976870.0,9.0,89.0
1650976871.0,6.0,71.0
1650976871.0,1.0,68.0
1650976872.0,3.0,70.0
1650976873.0,1.0,62.0
1650976873.0,3.0,64.0
1650976875.0,6.0,71.0
1650976875.0,1.0,62.0
1650976875.0,3.0,72.0
1650976875.0,9.0,92.0
1650976877.0,1.0,66.0
1650976877.0,3.0,72.0
1650976877.0,6.0,75.0
1650976877.0,9.0,88.0
1650976879.0,6.0,74.0
1650976879.0,1.0,59.0
1650976879.0,3.0,65.0
1650976880.0,6.0,85.0
1650976880.0,9.0,87.0
1650976881.0,3.0,65.0
1650976881.0,9.0,87.0
