id,type,mobile_id,number,time,rel_x,rel_y,uuid1,major1,minor1,proximity1,accuracy1,rssi1,uuid2,major2,minor2,proximity2,accuracy2,rssi2,uuid3,major3,minor3,proximity3,accuracy3,rssi3,uuid4,major4,minor4,proximity4,accuracy4,rssi4,uuid5,major5,minor5,proximity5,accuracy5,rssi5,uuid6,major6,minor6,proximity6,accuracy6,rssi6,uuid7,major7,minor7,proximity7,accuracy7,rssi7,uuid8,major8,minor8,proximity8,accuracy8,rssi8,uuid9,major9,minor9,proximity9,accuracy9,rssi9
63159dd25805616f5515d269,beacons,115571,1662361042,14:57:22,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,52.53898767,-72,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,60.18499518,-73,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,22.42786574,-66,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,14.32300848,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd35805616f5515d26a,beacons,115571,1662361043,14:57:23,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,60.18499518,-73,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,34.59438414,-69,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,342.114639,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd35805616f5515d26b,beacons,115571,1662361043,14:57:23,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,52.53898767,-72,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,78.58155584,-75,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,115.8186631,-78,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,25.9580671,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd45805616f5515d26c,beacons,115571,1662361044,14:57:24,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,89.57094251,-76,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,1029.561411,-81,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,115.8186631,-78,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,45.78640352,-71,,,,,,,,,,,,,,,,,,,,,,,,
63159dd45805616f5515d26d,beacons,115571,1662361045,14:57:25,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,68.8279124,-74,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,131.3917293,-79,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,25.9580671,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd55805616f5515d26e,beacons,115571,1662361045,14:57:25,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,68.8279124,-74,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,60.18499518,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd65805616f5515d26f,beacons,115571,1662361046,14:57:26,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,2626.743172,-89,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,101.9332205,-77,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,52.53898767,-72,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,131.3917293,-79,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,29.99257349,-68,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,428.7663415,-89,,,,,,,,,,,,,,,,,,
63159dd75805616f5515d270,beacons,115571,1662361047,14:57:27,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,190.1183292,-82,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,4067.376281,-93,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,101.9332205,-77,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,60.18499518,-73,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,168.3363608,-81,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,45.78640352,-71,,,,,,,,,,,,,,,,,,
63159dd75805616f5515d271,beacons,115571,1662361047,14:57:27,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,190.1183292,-82,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,39.83327309,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd85805616f5515d272,beacons,115571,1662361048,14:57:28,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,2626.743172,-89,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,78.58155584,-75,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,52.53898767,-72,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,214.4113761,-83,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,29.99257349,-68,,,,,,,,,,,,,,,,,,,,,,,,
63159dd85805616f5515d273,beacons,115571,1662361049,14:57:29,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,6,0,342.114639,-87,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,39.83327309,-70,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,34.59438414,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63159dd95805616f5515d274,beacons,115571,1662361049,14:57:29,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,7,0,39.83327309,-70,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,4,0,271.5684549,-85,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,1478.076414,-84,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,89.57094251,-76,fda50693-a4e2-4fb1-afcf-c6eb07647825,1,2,0,1312.133233,-83,,,,,,,,,,,,,,,,,,,,,,,,
63159dda5805616f5515d275,beacons,115571,1662361050,14:57:30,2,4,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,5,0,168.3363608,-81,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,8,0,39.83327309,-70,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,9,0,34.59438414,-69,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,3,0,45.78640352,-71,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,2,0,9.027046541,-60,fda50693-a4e2-4fb1-afcf-c6eb07647825,608,1,0,19.34517379,-65,,,,,,,,,,,,,,,,,,
